round,accuracy,mean_loss,mean_split,sigma_mean,client0_split,client1_split,client2_split,client3_split,client4_split
1,55.49,1.7598035528818765,6.0,0.0,6.0,6.0,6.0,6.0,6.0
2,69.31,1.196667256673177,6.0,0.0,6.0,6.0,6.0,6.0,6.0
3,69.77,0.9851053937911987,6.0,0.0,6.0,6.0,6.0,6.0,6.0
4,74.52,0.8564459363619485,6.0,0.0,6.0,6.0,6.0,6.0,6.0
5,74.53,0.789091693496704,6.0,0.0,6.0,6.0,6.0,6.0,6.0
6,77.51,0.7338528791109721,6.0,0.0,6.0,6.0,6.0,6.0,6.0
7,79.25,0.7049742995897929,6.0,0.0,6.0,6.0,6.0,6.0,6.0
8,79.7,0.6597330105145772,6.0,0.0,6.0,6.0,6.0,6.0,6.0
9,80.93,0.6341883483886719,6.0,0.0,6.0,6.0,6.0,6.0,6.0
10,82.24,0.6105699336687723,6.0,0.0,6.0,6.0,6.0,6.0,6.0
11,82.8,0.5822871282895405,6.0,0.0,6.0,6.0,6.0,6.0,6.0
12,82.96,0.5555385103861491,6.0,0.0,6.0,6.0,6.0,6.0,6.0
13,82.82,0.5323610416730246,6.0,0.0,6.0,6.0,6.0,6.0,6.0
14,84.27,0.5146142071882883,6.0,0.0,6.0,6.0,6.0,6.0,6.0
15,85.05,0.5010657748540241,6.0,0.0,6.0,6.0,6.0,6.0,6.0
16,85.33,0.481715901740392,6.0,0.0,6.0,6.0,6.0,6.0,6.0
17,85.63,0.4695224606355032,6.0,0.0,6.0,6.0,6.0,6.0,6.0
18,85.93,0.4538560336589813,6.0,0.0,6.0,6.0,6.0,6.0,6.0
19,86.43,0.44444274406433104,6.0,0.0,6.0,6.0,6.0,6.0,6.0
20,86.51,0.4342363747199377,6.0,0.0,6.0,6.0,6.0,6.0,6.0
21,86.69,0.42815042697588607,6.0,0.0,6.0,6.0,6.0,6.0,6.0
22,87.08,0.42191981042226157,6.0,0.0,6.0,6.0,6.0,6.0,6.0
23,87.11,0.4096691521167755,6.0,0.0,6.0,6.0,6.0,6.0,6.0
24,87.17,0.4094294753551483,6.0,0.0,6.0,6.0,6.0,6.0,6.0
25,87.33,0.4016868628025055,6.0,0.0,6.0,6.0,6.0,6.0,6.0
